longitude,latitude,target,habitat_quality_score,biodiversity_index,canopy_density,soil_moisture_level,forest_age_years,tree_density_per_hectare,annual_rainfall_mm,habitat_fragmentation_index,predator_pressure_score,vegetation_complexity,forest_type,climate_zone,soil_type,disturbance_level,conservation_status,dominant_tree_species,water_source_type,temperature_variability,elevation_range,human_activity_index,canopy_height_avg,seasonal_variation_score
-68.62413187028778,-32.86816044023586,0,38.746018006792724,0.8692214340063004,0.5846785988069197,6.031726527423059,97.91182980084902,396.49316410201646,1293.0660995209053,0.5072213138752657,1.0401419031766812,3.0,tropical_rainforest,montane,peat,low,unprotected,palm,stream,4.037666171119431,730.6549276644079,0.07525595886036332,6.710189660086053,6.874973851279279
-51.9644449628344,1.9789705760625989,0,17.456343267534812,3.4148650958141906,0.3279836110559444,4.694214757915104,169.73969765710783,350.57989022481496,2353.8148178876863,0.24761382492201095,7.522185380853152,9.0,dry_forest,temperate,loam,minimal,unprotected,pine,none,5.88294472743077,316.78042920589587,3.614124297164607,30.77075156373139,6.384739261091276
-50.58586559271331,-5.300425280125027,0,43.88304563449437,1.9302660391299906,0.750885341879345,7.8643566241095275,214.6021117044439,237.87277647498624,1147.090078295325,0.5748024722485143,3.255146104575471,4.0,dry_forest,subtropical,loam,moderate,unprotected,palm,seasonal,3.3663296522513737,474.80221014218944,2.251488768817457,5.0,5.690438220342659
-64.66674054292143,-32.10008653858513,0,29.736057916839503,1.7245587491602485,0.3223549330530493,4.44848010299386,275.1533421153327,458.725204800432,1252.2070358065585,0.6486013332979402,6.404152258856692,9.0,tropical_rainforest,temperate,loam,low,buffer_zone,mahogany,stream,8.984896805332223,187.29237074585438,3.063365327660951,16.284970417009564,6.328447836219434
-72.51234215721325,-5.718455884751066,1,66.54712263343316,9.257866508590139,0.42881163987939064,3.8225630536901694,179.54044412509552,346.3912297573876,604.7829169878099,0.7325624320954449,4.880406109269504,2.0,dry_forest,tropical,clay,low,unprotected,bamboo,seasonal,3.966467023797629,191.6394900348394,3.8886259417522138,36.7965036245004,5.78087438321635
-62.703174951626,-36.79855764432404,0,41.55874333552549,4.430203852795307,0.4544416894814769,4.255030893871866,283.56572511822714,345.0889749845675,3233.8761462942794,0.47628895671388594,2.3645631054137626,7.0,dry_forest,montane,peat,high,unprotected,bamboo,stream,5.308080536721498,418.1752175793467,1.6779640388047832,27.053007648651363,6.551827663089392
-89.1579722709625,15.36837433308482,0,16.732665811785555,2.207206211437921,0.28406399416404615,3.8947522014858866,162.23771784026954,196.38236903440637,1365.650068996073,0.38581460415140395,9.468028897011576,10.0,mangrove,temperate,loam,low,protected,pine,none,4.088463741578386,127.178694262868,6.530934515022318,25.1485958922231,6.782136844941471
-52.560846095686756,-0.13226691462609372,0,55.372620000545496,2.2576926517816007,0.6544294828419543,4.451002477532787,126.48264381266209,528.9016291612239,2126.8425738256888,0.6311164418909193,4.549994893992188,2.0,tropical_rainforest,subtropical,clay,minimal,protected,palm,seasonal,6.71936125888276,548.0837174071406,0.45823284361325906,31.55836565681026,5.561906758727929
-77.43560012102596,-9.019672458706737,1,60.278816918915666,6.564346620388921,0.4090745244462919,4.124519723135837,245.18097138155122,399.4345271852411,1677.8199094979059,0.43073409244815786,3.2813801518295644,1.0,cloud_forest,tropical,laterite,minimal,protected,cecropia,river,6.9118441301148446,432.17204884664216,0.499135767795385,34.13479069274621,5.063015981314566
-62.03751163042754,-5.31057984074275,0,47.483187595413256,0.308102158126683,0.4639356989076746,7.884307343982819,264.61510893561245,525.8885799645972,1540.727472326859,0.813004833714247,1.2385175467709022,3.0,secondary_forest,temperate,alluvial,high,buffer_zone,fig,river,5.907816724402151,478.88974552707646,5.237171532364027,20.675964590582335,6.609641992816826
